Data;#_Classes;Weights;CCR;CCR1;MAE;Date;Hidden;Dropout;LR_init
Boston_Housing;10;[1];0.320355731225;0.691897233202;1.21660079051;2018-02-03_17:27:04.526845;[50, 50];[0.5, 0.5];0.4
Boston_Housing;10;[1, 1, 1];0.316403162055;0.748023715415;1.10652173913;2018-02-03_17:27:04.526845;[50, 50];[0.5, 0.5];0.4
Boston_Housing;10;[0.8, 1, 0.8];0.336363636364;0.741304347826;1.11106719368;2018-02-03_17:27:04.526845;[50, 50];[0.5, 0.5];0.4
Boston_Housing;10;|[ 0.11111111  0.22222222  0.33333333  0.44444444  0.55555556  0.66666667 0.77777778  0.88888889  1.          0.88888889  0.77777778  0.66666667 0.55555556  0.44444444  0.33333333  0.22222222  0.11111111]|;0.295849802372;0.729051383399;1.14584980237;2018-02-03_17:27:04.526845;[50, 50];[0.5, 0.5];0.4
Stock;10;[1];0.716210526316;0.987368421053;0.297052631579;2018-02-04_01:35:50.393555;[50, 50];[0.5, 0.5];0.4
Stock;10;[1, 1, 1];0.575789473684;0.982;0.443894736842;2018-02-04_02:34:10.996522;[50, 50];[0.5, 0.5];0.4
Stock;10;[0.8, 1, 0.8];0.650947368421;0.982526315789;0.368105263158;2018-02-04_03:32:27.854987;[50, 50];[0.5, 0.5];0.4
Stock;10;|[ 0.11111111  0.22222222  0.33333333  0.44444444  0.55555556  0.66666667 0.77777778  0.88888889  1.          0.88888889 0.77777778  0.66666667 0.55555556  0.44444444  0.33333333  0.22222222 0.11111111]|;0.504526315789;0.964842105263;0.532315789474;2018-02-04_04:31:58.434039;[50, 50];[0.5, 0.5];0.4
Bank_8FM;10;[1];0.599853515625;0.974438476563;0.427612304688;2018-02-04_09:50:54.973282;[50, 50];[0.5, 0.5];0.4
Bank_8FM;10;[1, 1, 1];0.481994628906;0.978674316406;0.54072265625;2018-02-04_15:17:10.977196;[50, 50];[0.5, 0.5];0.4
Bank_8FM;10;[0.8, 1, 0.8];0.535510253906;0.978173828125;0.487829589844;2018-02-04_20:43:59.695314;[50, 50];[0.5, 0.5];0.4
Bank_8FM;10;|[ 0.11111111  0.22222222  0.33333333  0.44444444  0.55555556  0.66666667 0.77777778  0.88888889  1.        0.88888889  0.77777778  0.66666667 0.55555556  0.44444444  0.33333333  0.22222222 0.11111111]|;0.508093261719;0.959069824219;0.536596679688;2018-02-05_02:12:09.552185;[50, 50];[0.5, 0.5];0.4
Stock;10;[1];0.742105263158;0.991228070175;0.267368421053;2018-02-05_17:41:23.274776;[50, 50, 50, 50, 50];[0.5, 0.5, 0.5, 0.5, 0.5];0.5
